"","month","hour","temp","prec","windV","windD","Humid","vaporP","dewpoint","localP","seelevelP","sunhr","insolation","totalcloud","mid_low_cloud","visibility","Min_cloudheight","groundC","groundtemp"
"179",1,11,2.2,NA,2.3,340,70,5,NA,1011.2,1022,0,0.44,8,4,10,250,NA,2.6
"180",1,12,2.3,NA,4.1,290,67,4.8,NA,1010.2,1021,0,0.67,8,5,10,300,NA,3.8
"181",1,13,2.6,NA,4.5,290,62,4.6,NA,1009.1,1019.8,0.3,1.04,8,4,10,350,NA,5.4
"182",1,14,2.7,NA,5.2,290,56,4.2,NA,1008.4,1019.1,0.7,1.06,6,4,10,400,NA,5.6
"183",1,15,2.5,NA,3.6,320,45,3.3,NA,1008.4,1019.1,0.9,1.09,8,0,NA,700,1,4.5
"184",1,16,1.8,NA,4.7,290,34,2.4,NA,1008.4,1019.2,1,0.68,7,0,NA,1500,NA,1.9
"185",1,17,0.4,NA,4.2,290,34,2.1,NA,1009.1,1019.9,0.6,0.28,7,0,NA,1700,NA,0.2
"186",1,18,-0.8,NA,5.4,290,32,1.8,NA,1009.9,1020.8,0,0.01,8,0,NA,2000,NA,-0.1
"187",1,19,-1.7,NA,5.1,290,36,1.9,NA,1010.5,1021.4,NA,NA,NA,NA,NA,NA,NA,-0.4
"188",1,20,-2.8,NA,4.1,340,41,2,NA,1011.6,1022.6,NA,NA,NA,NA,NA,NA,NA,-0.6
"189",1,21,-3.5,NA,5,290,41,1.9,NA,1012.1,1023.1,NA,NA,5,0,NA,2000,4,-0.8
"190",1,22,-4.4,NA,3.9,290,42,1.8,NA,1012.6,1023.7,NA,NA,NA,NA,NA,NA,NA,-1.4
"191",1,23,-5.1,NA,4.2,290,40,1.7,NA,1012.7,1023.8,NA,NA,NA,NA,NA,NA,NA,-1.9
"192",1,0,-5.7,NA,3,320,33,1.3,NA,1012.8,1023.9,NA,NA,0,0,NA,2000,NA,-2.3
"193",1,1,-6.3,NA,4,320,30,1.1,-21,1013.1,1024.2,NA,NA,NA,NA,NA,NA,NA,-3
"194",1,2,-7.2,NA,5.4,290,29,1,-22.2,1013.4,1024.6,NA,NA,NA,NA,NA,NA,NA,-3.9
"195",1,3,-8.1,NA,3.5,270,29,1,-23,1014,1025.2,NA,NA,0,0,NA,2000,4,-4.4
"196",1,4,-8.6,NA,2.8,290,29,0.9,-23.4,1014.3,1025.6,NA,NA,0,0,NA,2000,NA,-5.1
"197",1,5,-9.1,NA,1.9,290,30,0.9,-23.5,1014.5,1025.8,NA,NA,0,0,NA,2000,NA,-5.8
"198",1,6,-9.7,NA,1.1,340,33,1,-23,1015,1026.3,NA,NA,0,0,NA,2000,NA,-6.2
"199",1,7,-10.1,NA,2.2,360,33,0.9,-23.3,1016.1,1027.5,NA,NA,0,0,NA,2000,NA,-6.7
"200",1,8,-10.4,NA,2.8,320,34,0.9,-23.2,1017.2,1028.6,0,0,0,0,NA,2000,NA,-7
"201",1,9,-10.2,NA,4.1,290,33,0.9,-23.4,1018.4,1029.8,1,0.28,0,0,NA,2000,4,-6
"202",1,10,-9.2,NA,2.7,320,32,1,-22.9,1019.1,1030.4,1,0.83,0,0,NA,1800,NA,-2
"203",1,11,-7.6,NA,4.2,270,27,0.9,-23.4,1019.3,1030.6,1,1.28,0,0,NA,1800,NA,-0.6
"204",1,12,-6.9,NA,3.9,290,24,0.9,NA,1018.8,1030,1,1.58,0,0,NA,1600,NA,1.3
"205",1,13,-5.9,NA,4.1,290,22,0.9,NA,1018.1,1029.3,1,1.73,0,0,NA,1600,NA,0.5
"206",1,14,-4.9,NA,4.6,290,19,0.8,NA,1017.7,1028.8,1,1.66,0,0,NA,1600,NA,0.9
